מק""ט,"שם תחנה",רחוב,בית,"שם עיר","קו אורך","קו רוחב","סוג תחנה","תחנת קצה","כמות קווים עוצרים","% נסיעות מעבר","נסיעות מתחנה ליעד","עצירות יומי","עצירות 04:00-06:00","עצירות 06:00-09:00","עצירות 09:00-12:00","עצירות 12:00-15:00","עצירות 15:00-19:00","עצירות 19:00-24:00","עצירות 24:00-04:00","תיקופים יומי","תיקופים 04:00-06:00","תיקופים 06:00-09:00","תיקופים 09:00-12:00","תיקופים 12:00-15:00","תיקופים 15:00-19:00","תיקופים 19:00-24:00","תיקופים 24:00-04:00"
13041,"קופת חולים ג/הנרייטה סולד","הנרייטה סולד",1,"באר שבע",34802365,31247485,"תחנה רגילה",רגילה,8,30.045619003,1.184835614,361,9,56,68,71,89,68,0,202.1875,0.458333333,20.3125,54.833333333,54.916666667,57,14.666666667,0
13236,"תיכון מקיף א/דרך השלום","דרך השלום",0,"באר שבע",34801036,31250751,"תחנה רגילה",רגילה,3,5.123339658,1.409867173,119,4,21,21,21,28,24,0,81.854166667,0.166666667,5.791666667,14.708333333,37.895833333,18.416666667,4.583333333,0.291666667
11227,"תיכון מקיף א/דרך השלום","דרך השלום",4,"באר שבע",34801676,31251480,"תחנה רגילה",רגילה,3,15.247776366,1.242693774,123,3,25,21,21,28,25,0,26.104166667,0,2.854166667,3.5,9.5,7.833333333,2.416666667,0
19450,"גאולים/אסירי ציון",גאולים,7,"באר שבע",34803376,31248978,"תחנה רגילה",רגילה,1,7.92864222,1.647670961,92,2,15,18,18,23,16,0,77.25,0.25,13.041666667,28.229166667,18.666666667,14.333333333,2.729166667,0
13450,"גאולים/אסירי ציון",גאולים,14,"באר שבע",34803733,31248823,"תחנה רגילה",רגילה,1,12.849162011,1.363128492,90,3,15,18,18,21,15,0,21.666666667,0,6.25,4.5,5.604166667,4.25,1.0625,0
11234,"בית נועם/שז""""ר","שדרות שז''ר",35,"באר שבע",34804642,31245602,"תחנה רגילה",רגילה,5,21.338912134,1.581241283,199,4,32,40,39,51,32,1,118.458333333,0,3.9375,35.166666667,35,37.666666667,6.6875,0
13451,"בה""""ס דגניה/ז'בוטינסקי",ז'בוטינסקי,4,"באר שבע",34807178,31247941,"תחנה רגילה",רגילה,1,12.430939227,1.399171271,90,3,15,18,18,21,15,0,18.4375,0.083333333,2.958333333,4.645833333,5.479166667,4.229166667,1.041666667,0
11245,"בה""""ס דגניה/המעפילים",המעפילים,3,"באר שבע",34807099,31248691,"תחנה רגילה",רגילה,1,5.139882889,1.54066363,92,2,15,18,18,23,16,0,62.875,0.5,16.375,14.333333333,15.208333333,13.458333333,3,0
11246,"המעפילים/עולי הגרדום",המעפילים,15,"באר שבע",34807091,31250461,"תחנה רגילה",רגילה,1,5.686125853,1.619408643,92,2,15,18,18,23,16,0,94.75,0.5,23.333333333,27.520833333,20.479166667,19.6875,3.229166667,0
13234,"דרך השלום/ארלוזורוב","דרך השלום",61,"באר שבע",34806899,31252022,"תחנה רגילה",רגילה,3,5.893536122,1.45865019,119,4,21,21,21,28,24,0,81.958333333,3.4375,15.75,13.25,26.5625,17.520833333,5.395833333,0.041666667
13034,"מרכז אורות/דרך השלום","דרך השלום",52,"באר שבע",34808067,31251753,"תחנה רגילה",רגילה,3,8.204633205,1.481660232,123,3,25,21,21,28,25,0,45.25,1.020833333,16.395833333,5.979166667,8.354166667,10.020833333,3.479166667,0
13049,וינגייט/גולומב,וינגייט,80,"באר שבע",34801892,31255745,"תחנה רגילה",רגילה,1,6.825938567,1.638225256,90,3,15,18,18,21,15,0,7.891304348,0,2.456521739,1.695652174,1.869565217,1.456521739,0.413043478,0
13235,"דרך השלום/יד ושם","דרך השלום",23,"באר שבע",34803659,31252966,"תחנה רגילה",רגילה,3,4.480519481,1.373051948,119,4,21,21,21,28,24,0,111.916666667,1.916666667,12.895833333,22.958333333,47.1875,21.854166667,4.9375,0.166666667
19718,וינגייט/גולומב,וינגייט,51,"באר שבע",34802658,31255714,"תחנה רגילה",רגילה,1,20.683287165,1.318559557,92,2,15,18,18,23,16,0,24.916666667,0.083333333,5.5625,5.520833333,6.270833333,6.020833333,1.458333333,0
13949,"מרפאות חוץ סורוקה/אוניברסיטת בן גוריון","שדרות דוד בן גוריון",3,"באר שבע",34800344,31261085,"תחנה רגילה","קצה עליה",42,13.087668593,1.257129094,807,9,130,142,155,215,152,4,643.416666667,0.375,19.479166667,149.291666667,196.104166667,209.25,68.916666667,0
13518,"מרפאות חוץ סורוקה/אוניברסיטת בן גוריון","שדרות דוד בן גוריון",0,"באר שבע",34801561,31260863,"תחנה רגילה",רגילה,7,27.758894176,1.288919103,411,9,72,78,78,98,71,5,162.958333333,0.5,22.1875,32.083333333,44.729166667,51.104166667,12.3125,0.041666667
11233,"דרך השלום/יד ושם","דרך השלום",26,"באר שבע",34804381,31252915,"תחנה רגילה",רגילה,3,11.292073833,1.431053203,123,3,25,21,21,28,25,0,29.520833333,2.208333333,5.75,6.083333333,6.520833333,7,1.958333333,0
11236,"בה""""ס נטעים/וינגייט",וינגייט,50,"באר שבע",34804673,31255901,"תחנה רגילה",רגילה,1,6.735751295,1.852331606,90,3,15,18,18,21,15,0,12.583333333,0.125,3.145833333,2.854166667,2.583333333,2.854166667,1.020833333,0
19719,וינגייט/ארלוזורוב,וינגייט,39,"באר שבע",34805038,31255806,"תחנה רגילה",רגילה,1,13.452914798,1.331838565,92,2,15,18,18,23,16,0,105.217391304,0.673913043,26.804347826,30.695652174,23.434782609,20,3.608695652,0
11249,"וינגייט/גוש עציון",וינגייט,28,"באר שבע",34807462,31256302,"תחנה רגילה",רגילה,1,6.034482759,1.70210728,90,3,15,18,18,21,15,0,37.25,1.8125,7.416666667,13.645833333,6.270833333,6.041666667,2.0625,0
19720,"וינגייט/חביבה רייק",וינגייט,17,"באר שבע",34808365,31256345,"תחנה רגילה",רגילה,1,5.756395996,1.46996663,92,2,15,18,18,23,16,0,1.333333333,0.333333333,0,0,0,0.666666667,0.333333333,0
13983,"מרכז הספורט אוניברסיטת בן גוריון","שדרות דוד בן גוריון",7,"באר שבע",34805447,31260957,"תחנה רגילה",רגילה,39,28.059483179,1.248049732,771,9,129,136,147,203,143,4,274.541666667,0.5,23.104166667,49.833333333,69.75,95.395833333,35.958333333,0
13992,"מעונות הסטודנטים/שדרות בן גוריון","שדרות דוד בן גוריון",8,"באר שבע",34806382,31260746,"תחנה רגילה",רגילה,34,28.461707264,1.185648453,725,16,124,123,138,182,137,5,151.291666667,1.041666667,27.375,23.25,34.5,49.604166667,15.4375,0.083333333
11601,"תחנת רכבת/שדרות דוד בן גוריון","שדרות דוד בן גוריון",11,"באר שבע",34807920,31260876,"תחנה רגילה",רגילה,39,26.077637533,1.109073589,747,8,124,130,141,197,141,6,293.979166667,0.041666667,21.6875,35.229166667,52.708333333,109.895833333,74.291666667,0.125
11253,"בי""""ס דגניה/ז'בוטינסקי",ז'בוטינסקי,24,"באר שבע",34809175,31249085,"תחנה רגילה",רגילה,1,7.648725212,1.47592068,90,3,15,18,18,21,15,0,8.9375,0.041666667,2.645833333,1.625,2.125,2,0.458333333,0.041666667
13448,"מרכז אורות/ז'בוטינסקי",ז'בוטינסקי,54,"באר שבע",34809137,31251830,"תחנה רגילה",רגילה,1,8.398950131,1.524934383,90,3,15,18,18,21,15,0,25.645833333,0.291666667,7.1875,6.625,4.208333333,5.604166667,1.729166667,0
11256,"דרך השלום/גוש עציון","דרך השלום",83,"באר שבע",34809592,31253413,"תחנה רגילה",רגילה,4,8.419889503,1.491049724,211,6,36,39,39,51,40,0,183.541666667,4.479166667,48.208333333,43.8125,35.145833333,41.0625,10.625,0.208333333
11259,"דרך השלום/הנדיב","דרך השלום",76,"באר שבע",34810124,31254483,"תחנה רגילה",רגילה,4,11.951909477,1.523338048,213,6,40,39,39,49,40,0,53.25,2.083333333,14.666666667,9.895833333,11.416666667,11.229166667,3.916666667,0.041666667
11254,"וינגייט/חנה סנש",וינגייט,10,"באר שבע",34809418,31256505,"תחנה רגילה",רגילה,1,9.025270758,1.653429603,90,3,15,18,18,21,15,0,21.9375,1.4375,5.541666667,5.3125,4.041666667,4.125,1.4375,0.041666667
11258,"דרך השלום/וינגייט","דרך השלום",111,"באר שבע",34810357,31255479,"תחנה רגילה",רגילה,4,9.679514942,1.495236033,211,6,36,39,39,51,40,0,189.5,5.020833333,53.083333333,47.1875,32.125,40.520833333,11.5625,0
11602,"תחנת רכבת/שדרות דוד בן גוריון","שדרות דוד בן גוריון",14,"באר שבע",34809044,31260328,"תחנה רגילה",רגילה,40,28.693610599,1.155794063,713,13,116,119,137,182,140,6,217.5,0.604166667,56.1875,33.270833333,35.166666667,65.25,26.895833333,0.125
14381,"שדרות דוד בן גוריון/דרך השלום","שדרות דוד בן גוריון",30,"באר שבע",34811461,31258157,"תחנה רגילה",רגילה,22,17.822169996,1.223658441,316,6,50,52,62,82,64,0,109.770833333,0.166666667,20.479166667,14.479166667,24.166666667,41.458333333,9.020833333,0
13485,"שדרות דוד בן גוריון/דרך השלום","שדרות דוד בן גוריון",34,"באר שבע",34812060,31257330,"תחנה רגילה",רגילה,6,9.126984127,1.273015873,183,3,37,31,35,49,28,0,50.166666667,0.125,4,5.479166667,10.375,24.770833333,5.416666667,0
14379,"שדרות דוד בן גוריון/יהושע הצורף","שדרות דוד בן גוריון",29,"באר שבע",34811784,31258113,"תחנה רגילה",רגילה,33,13.942816802,1.226438405,645,6,108,111,123,172,119,6,219.020833333,0.125,15.854166667,19.791666667,51.416666667,98.708333333,33.125,0
14395,"שדרות דוד בן גוריון/האורגים","שדרות דוד בן גוריון",0,"באר שבע",34814256,31253969,"תחנה רגילה",רגילה,29,23.657927591,1.224719101,427,3,85,74,79,112,72,2,36.770833333,0.041666667,1.583333333,4.208333333,6.145833333,19.625,5.166666667,0
13530,"יהודה הנחתום/יהושע הצורף","יהודה הנחתום",6,"באר שבע",34814436,31255718,"תחנה רגילה",רגילה,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,1.166666667,0,0,0.5,0,0.666666667,0,0
13519,"יהודה הנחתום/יהושע הצורף","יהודה הנחתום",7,"באר שבע",34814489,31255830,"תחנה רגילה",רגילה,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,1,0,0.333333333,0,0.333333333,0.333333333,0,0
