קו,מפעיל,כיוון,חלופה,מקט,מוצא,יעד,תאור,אורך,"מספר תחנות","יציאות ביום ג","יציאות שבועיות",סוג,שרות,יחודיות,"סוג אוטובוס",שבת,נגיש,אשכול,מחוז,"מספר חלופה"
12,"דן באר שבע",1,1,39012,"באר שבע","באר שבע","ת.מרכזית/עירוניים לדרום - אצטדיון טרנר",7.7,23,26,139,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,19460
12,"דן באר שבע",2,0,39012,"באר שבע","באר שבע","אצטדיון טרנר - ת.מרכזית/עירוניים לצפון",9.1,25,63,363,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17556
12,"דן באר שבע",2,1,39012,"באר שבע","באר שבע","אצטדיון טרנר - ת.מרכזית/עירוניים לדרום",7.5,21,63,345,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,19182
13,"דן באר שבע",1,0,33013,"באר שבע","באר שבע","מרכז ביג/המשק - מסוף חצרים",11.6,32,64,361,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17520
13,"דן באר שבע",2,0,33013,"באר שבע","באר שבע","מסוף חצרים - מרכז ביג/המשק",11.5,28,65,368,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17521
14,"דן באר שבע",1,0,33014,"באר שבע","באר שבע","""ת. רכבת ב""""ש צפון"" - שד. הצנחנים / צבי בן יעקב",14.2,36,42,233,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17523
14,"דן באר שבע",1,1,33014,"באר שבע","באר שבע","""ת. רכבת ב""""ש צפון"" - חניון רכב כבד/הבונים",19.5,42,16,88,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,178
14,"דן באר שבע",2,0,33014,"באר שבע","באר שבע","שד. הצנחנים / צבי בן יעקב - ""ת. רכבת ב""""ש צפון""",14.5,39,47,262,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17524
14,"דן באר שבע",2,1,33014,"באר שבע","באר שבע","חניון רכב כבד/הבונים - ""ת. רכבת ב""""ש צפון""",18.8,43,15,82,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,180
15,מטרו,1,#,72015,"באר שבע","תל שבע","ת.מרכזית באר שבע/רציפים בינעיר - אזור תעשיה תל שבע",19.2,36,4,23,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,20210
15,מטרו,2,#,72015,"תל שבע","באר שבע","מגדל מים - ת.מרכזית באר שבע/הורדה",19.1,36,6,33,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,20211
16,"דן באר שבע",1,0,32016,"באר שבע","באר שבע","""מסוף י""""א"" - מרכז ביג/המשק",11.6,29,54,302,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17570
16,"דן באר שבע",1,1,32016,"באר שבע","באר שבע","כפר האירוסים/דרך אילן רמון - מרכז ביג/המשק",12.6,30,7,45,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,185
16,"דן באר שבע",2,0,32016,"באר שבע","באר שבע","מרכז ביג/המשק - ""מסוף י""""א""",11.4,30,49,272,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17573
16,"דן באר שבע",2,1,32016,"באר שבע","באר שבע","מרכז ביג/המשק - מכללה טכנולוגית חיל האוויר/דרך",12.5,31,8,51,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,187
17,"דן באר שבע",1,0,30017,"באר שבע","באר שבע","ת.מרכזית/עירוניים לדרום - הברזל/הזורע",5.0,13,26,140,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17577
17,"דן באר שבע",2,0,30017,"באר שבע","באר שבע","הברזל/החורש - ת.מרכזית/עירוניים לצפון",5.1,14,21,115,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17579
18,"דן באר שבע",1,0,31018,"באר שבע","באר שבע","ת.מרכזית/עירוניים לדרום - ""דיקלה/מסוף י""""א""",9.2,22,50,280,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17525
18,"דן באר שבע",1,1,31018,"באר שבע","באר שבע","ת.מרכזית/עירוניים לדרום - ""דיקלה/מסוף י""""א""",9.2,24,2,12,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,28740
18,"דן באר שבע",2,0,31018,"באר שבע","באר שבע","""מסוף י""""א"" - ת.מרכזית/עירוניים לצפון",8.9,24,55,310,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17526
18,"דן באר שבע",2,1,31018,"באר שבע","באר שבע","""מסוף י""""א"" - ת.מרכזית/עירוניים לצפון",8.7,22,2,12,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,195
20,מטרו,1,#,24020,"באר שבע",כסיפה,"ת.מרכזית באר שבע/רציפים בינעיר - בי''ס בבנייה",37.9,28,27,146,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8208
20,מטרו,1,1,24020,"באר שבע",כסיפה,"הברזל/החורש - בי''ס בבנייה",43.0,37,2,10,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,17355
20,מטרו,2,#,24020,כסיפה,"באר שבע","""בי""""ס אלמותנבי"" - ת.מרכזית באר שבע/הורדה",39.3,27,33,179,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8209
20,מטרו,2,1,24020,כסיפה,"באר שבע","""בי""""ס אלמותנבי"" - הברזל/הזורע",43.7,41,1,5,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,17356
21,מטרו,1,#,35021,"באר שבע",דריג'את,"ת.מרכזית באר שבע/רציפים בינעיר - דריג'את",43.2,32,8,43,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11129
21,מטרו,2,#,35021,דריג'את,"באר שבע","דריג'את - ת.מרכזית באר שבע/הורדה",42.2,32,8,43,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11130
22,"דן באר שבע",1,0,27022,"באר שבע","באר שבע","ת.מרכזית/עירוניים לדרום - אצטדיון טרנר",14.3,41,72,400,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17531
22,"דן באר שבע",2,0,27022,"באר שבע","באר שבע","אצטדיון טרנר - ת.מרכזית/עירוניים לצפון",14.3,39,74,415,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17532
23,"דן באר שבע",1,0,25023,"באר שבע","באר שבע","ת.מרכזית/עירוניים לצפון - ""גשר ת. רכבת ב""""ש צפון/התבונה""",12.2,30,47,252,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17534
23,"דן באר שבע",2,0,25023,"באר שבע","באר שבע","""גשר ת. רכבת ב""""ש צפון/התבונה"" - ת.מרכזית/עירוניים לדרום",13.2,30,47,255,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17535
24,"דן באר שבע",1,0,23024,"באר שבע","באר שבע","ת.מרכזית/עירוניים לצפון - מסוף רמות",13.2,33,59,336,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17537
24,"דן באר שבע",2,0,23024,"באר שבע","באר שבע","מסוף רמות - ת.מרכזית/עירוניים לצפון",12.9,33,63,361,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17538
25,"דן באר שבע",1,0,21025,"באר שבע","באר שבע","מסוף חצרים - מרכז ביג/המשק",16.9,44,76,434,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17545
25,"דן באר שבע",2,0,21025,"באר שבע","באר שבע","מרכז ביג/המשק - מסוף חצרים",17.0,49,69,392,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17546
26,מטרו,1,#,20026,"באר שבע",אשכולות,"ת.מרכזית באר שבע/רציפים בינעיר - אשכולות/מזכירות",47.8,35,6,33,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,7951
